node,group,url,rss,twitter,facebook,weight,comments
L’Atelier du roman,Antimodernes,https://latelierduroman.com,http://latelierduroman.com/index.php?format=feed&type=rss,,,,
Le Comptoir,Antimodernes,https://comptoir.org,https://comptoir.org/feed,https://x.com/Le__Comptoir,https://www.facebook.com/lecomptoirblog,,
Le Dorothy,Antimodernes,https://www.ledorothy.fr,https://www.ledorothy.fr/feed,,https://www.facebook.com/ledorothycafeatelier,,
Le Simone,Antimodernes,https://www.lesimone.fr,https://www.lesimone.fr/feed,,https://www.facebook.com/lesimonelyon,,
Livr’Arbitres,Antimodernes,https://livrarbitres.com,https://livrarbitres.com/feed,https://x.com/Livr_arbitres,https://www.facebook.com/livrarbitres,,
Philitt,Antimodernes,https://philitt.fr,https://philitt.fr/feed,https://x.com/Philitt,https://www.facebook.com/Philitt,,
Raskar Kapac,Antimodernes,https://raskarkapac.wordpress.com,https://raskarkapac.wordpress.com/feed,,https://www.facebook.com/975563922510859,,
Revue Conférence,Antimodernes,https://www.revue-conference.com,https://www.revue-conference.com/index.php?format=feed&type=rss,https://x.com/RevueConference,https://www.facebook.com/profile.php?id=100038169854542,,
Sauvons l'Art,Antimodernes,https://sauvonslart.com,https://sauvonslart.com/feed,,https://www.facebook.com/497696033580042,,
Zone Critique,Antimodernes,https://zone-critique.com,https://zone-critique.com/feed,,https://www.facebook.com/zcritique,,
Les Alternatives Catholiques,Antimodernes,https://www.lesalternativescatholiques.fr,https://www.lesalternativescatholiques.fr/feed,https://x.com/Altercathos,https://www.facebook.com/lesaltercathos,,
Artemus,Antivax,https://artemus.info,,,,,
France Soir,Antivax,https://www.francesoir.fr,,,,,
La vérité libère,Antivax,https://laveritelibere.com,,,,,
RéInfoSanté,Antivax,https://reinfosante.fr,,,,,
RGNR.TV,Antivax,https://www.rgnr.tv,,,,,
BonSens.org,Antivax,https://bonsens.info,,,,,
Conseil Scientifique Indépendant,Antivax,https://www.conseil-scientifique-independant.org,,,,,
AIMSIB,Antivax,https://www.aimsib.org,,,,,
Collectif de Santé Pédiatrique,Antivax,https://collectifdesantepediatrique.fr,,,,,
Mamans Louves,Antivax,https://www.mamanslouves.org,,,,,
Réinfo-covid,Antivax,https://reinfocovid.fr/,,,,,
Syndicat Liberté Santé,Antivax,https://www.syndicat-liberte-sante.com,,,,,
Réinfo Liberté,Antivax,https://reinfoliberte.fr,,,,,
Aide à l’Église en Détresse,Conservateurs,https://aed-france.org,,https://x.com/aedenfrance,https://www.facebook.com/AEDenFrance,,
Aleteia,Conservateurs,https://fr.aleteia.org,,https://x.com/aleteiafr,https://www.facebook.com/Aleteiafr,,Retiré des flux RSS
Alliance VITA,Conservateurs,https://www.alliancevita.org,https://www.alliancevita.org/feed,https://x.com/allianceVITA,https://www.facebook.com/AllianceVITA,,
Associations Familiales Catholiques,Conservateurs,https://www.afc-france.org,,https://x.com/CNAFC,https://www.facebook.com/cnafc,,
Boulevard Voltaire,Conservateurs,https://www.bvoltaire.fr,,https://x.com/BVoltaire,https://www.facebook.com/bvoltaire.fr,,Retiré des flux RSS
CathoVoice,Conservateurs,https://www.cathovoice.fr,https://www.cathovoice.fr/feed,https://x.com/CathoVoice,https://www.facebook.com/CathoVoice,,
Causeur,Conservateurs,https://www.causeur.fr,,https://x.com/causeur,https://www.facebook.com/causeur,,Retiré des flux RSS
Centre de Réflexion sur la Sécurité Intérieure,Conservateurs,https://www.crsi-paris.fr,https://www.crsi-paris.fr/feed,https://x.com/CRSI_Paris,https://www.facebook.com/profile.php?id=100071205516353,,
Cercle Droit & Liberté,Conservateurs,https://www.cercledroitetliberte.fr,https://www.cercledroitetliberte.fr/feed,https://x.com/cercledl,https://www.facebook.com/cercleDL,,
Chrétienté Solidarité,Conservateurs,https://chretientesolidarite.fr,https://chretientesolidarite.fr/feed,https://x.com/ChretienteS,https://www.facebook.com/chretientesolidarite,,
Dreuz.info,Conservateurs,https://www.dreuz.info,,https://x.com/Dreuz_1fo,https://www.facebook.com/Dreuz.info/,,Retiré des flux RSS
Droite TV,Conservateurs,https://www.droite.tv,,,https://www.facebook.com/830913376926178,,Retiré des flux RSS
Écologie Humaine,Conservateurs,https://www.ecologiehumaine.eu,https://www.ecologiehumaine.eu/feed,https://x.com/ecohum,https://www.facebook.com/EcologieHumaine,,
En Marche Pour La Vie,Conservateurs,https://enmarchepourlavie.fr,https://www.enmarchepourlavie.fr/feed,https://x.com/MarchePourLaVie,https://www.facebook.com/enmarchepourlavie,,
